A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode 1452/10000 - Total Reward: 310.00
Episode 1453/10000 - Total Reward: 275.00
Episode 1454/10000 - Total Reward: 210.00
Episode 1455/10000 - Total Reward: 205.00
Episode 1456/10000 - Total Reward: 645.00
Episode 1457/10000 - Total Reward: 240.00
Episode 1458/10000 - Total Reward: 250.00
Episode 1459/10000 - Total Reward: 300.00
Episode 1460/10000 - Total Reward: 180.00
Episode 1461/10000 - Total Reward: 185.00
Episode 1462/10000 - Total Reward: 275.00
Episode 1463/10000 - Total Reward: 180.00
Episode 1464/10000 - Total Reward: 160.00
Episode 1465/10000 - Total Reward: 110.00
Episode 1466/10000 - Total Reward: 145.00
Episode 1467/10000 - Total Reward: 165.00
Episode 1468/10000 - Total Reward: 145.00
Episode 1469/10000 - Total Reward: 160.00
Episode 1470/10000 - Total Reward: 125.00
Episode 1471/10000 - Total Reward: 670.00
Episode 1472/10000 - Total Reward: 575.00
Episode 1473/10000 - Total Reward: 200.00
Episode 1474/10000 - Total Reward: 130.00
Episode 1475/10000 - Total Reward: 110.00
Episode 1476/10000 - Total Reward: 115.00
Episode 1477/10000 - Total Reward: 255.00
Episode 1478/10000 - Total Reward: 215.00
Episode 1479/10000 - Total Reward: 305.00
Episode 1480/10000 - Total Reward: 215.00
Episode 1481/10000 - Total Reward: 485.00
Episode 1482/10000 - Total Reward: 215.00
Episode 1483/10000 - Total Reward: 265.00
Episode 1484/10000 - Total Reward: 110.00
Episode 1485/10000 - Total Reward: 105.00
Episode 1486/10000 - Total Reward: 470.00
Episode 1487/10000 - Total Reward: 355.00
Episode 1488/10000 - Total Reward: 200.00
Episode 1489/10000 - Total Reward: 785.00
Episode 1490/10000 - Total Reward: 465.00
Episode 1491/10000 - Total Reward: 330.00
Episode 1492/10000 - Total Reward: 235.00
Episode 1493/10000 - Total Reward: 155.00
Episode 1494/10000 - Total Reward: 60.00
Episode 1495/10000 - Total Reward: 270.00
Episode 1496/10000 - Total Reward: 210.00
Episode 1497/10000 - Total Reward: 530.00
Episode 1498/10000 - Total Reward: 330.00
Episode 1499/10000 - Total Reward: 840.00
Episode 1500/10000 - Total Reward: 185.00
Episode 1501/10000 - Total Reward: 220.00
Episode 1502/10000 - Total Reward: 185.00
Episode 1503/10000 - Total Reward: 235.00
Episode 1504/10000 - Total Reward: 125.00
Episode 1505/10000 - Total Reward: 385.00
Episode 1506/10000 - Total Reward: 170.00
Episode 1507/10000 - Total Reward: 175.00
Episode 1508/10000 - Total Reward: 310.00
Episode 1509/10000 - Total Reward: 265.00
Episode 1510/10000 - Total Reward: 515.00
Episode 1511/10000 - Total Reward: 155.00
Episode 1512/10000 - Total Reward: 295.00
Episode 1513/10000 - Total Reward: 205.00
Episode 1514/10000 - Total Reward: 580.00
Episode 1515/10000 - Total Reward: 220.00
Episode 1516/10000 - Total Reward: 440.00
Episode 1517/10000 - Total Reward: 135.00
Episode 1518/10000 - Total Reward: 335.00
Episode 1519/10000 - Total Reward: 140.00
